sep=,
"Time","open5gs-ue01","open5gs-upf-1","open5gs-upf-2","open5gs-upf-3","open5gs-upf-4"
1704512595000,undefined,27234304,27123712,27496448,27217920
1704512610000,undefined,27242496,27451392,27496448,27217920
1704512625000,undefined,27246592,27451392,27504640,27217920
1704512640000,undefined,27250688,27451392,27504640,27545600
1704512655000,undefined,27389952,27451392,27516928,27545600
1704512670000,490909696,27430912,27451392,27516928,27545600
1704512685000,504012800,27467776,27451392,27521024,27545600
1704512700000,511270912,27480064,27451392,27525120,27545600
1704512715000,515461120,27488256,27451392,27533312,27545600
1704512730000,520339456,27492352,27451392,27537408,27545600
1704512745000,526262272,27496448,27451392,27541504,27545600
1704512760000,530538496,27500544,27525120,27545600,27545600
1704512775000,535941120,27504640,27529216,27549696,27545600
1704512790000,542097408,27512832,27533312,27553792,27545600
1704512805000,542097408,27521024,27537408,27557888,27545600
1704512820000,542687232,27525120,27549696,27561984,27545600
1704512835000,543191040,27533312,27553792,27570176,27545600
1704512850000,543703040,27537408,27557888,27574272,27545600
1704512865000,544223232,27545600,27561984,27578368,27545600
1704512880000,544485376,27549696,27570176,27582464,27545600
1704512895000,544485376,27553792,27570176,27586560,27545600
1704512910000,543821824,27561984,27578368,27590656,27545600
1704512925000,543821824,27566080,27578368,27594752,27545600
1704512940000,543821824,27570176,27590656,27598848,27545600
1704512955000,543821824,27578368,27590656,27611136,27545600
1704512970000,544067584,27586560,27598848,27611136,27545600
1704512985000,544067584,27590656,27607040,27615232,27545600
1704513000000,544067584,27594752,27611136,27619328,27545600
1704513015000,544321536,27598848,27615232,27623424,27545600
1704513030000,544321536,27607040,27619328,27627520,27545600
1704513045000,544587776,27607040,27623424,27635712,27545600
1704513060000,544587776,27615232,27627520,27639808,27545600
1704513075000,544587776,27623424,27639808,27643904,27545600
1704513090000,544841728,27627520,27643904,27648000,27545600
1704513105000,544841728,27631616,27648000,27652096,27545600
1704513120000,544841728,27635712,27652096,27656192,27545600
1704513135000,544841728,27648000,27656192,27660288,27545600
1704513150000,545165312,27648000,27668480,27668480,27545600
1704513165000,545165312,27656192,27668480,27672576,27545600
1704513180000,545165312,27656192,27676672,27672576,27545600
1704513195000,545165312,27668480,27680768,27684864,27545600
1704513210000,545165312,27668480,27688960,27684864,27545600
1704513225000,545165312,27676672,27688960,27688960,27545600
1704513240000,545165312,27676672,27697152,27697152,27545600
1704513255000,545165312,27684864,27697152,27701248,27545600
1704513270000,545423360,27684864,27705344,27705344,27545600
1704513285000,545423360,27697152,27705344,27705344,27545600
1704513300000,545423360,27705344,27717632,27713536,27545600
1704513315000,545423360,27709440,27721728,27717632,27545600
1704513330000,545423360,27717632,27729920,27725824,27545600
1704513345000,545423360,27717632,27729920,27729920,27545600
1704513360000,545423360,27725824,27738112,27734016,27545600
1704513375000,545423360,27725824,27746304,27738112,27545600
1704513390000,545423360,27734016,27746304,27738112,27545600
1704513405000,545423360,27734016,27754496,27746304,27545600
1704513420000,545677312,27742208,27754496,27746304,27545600
1704513435000,545677312,27746304,27766784,27762688,27545600
1704513450000,545677312,27758592,27774976,27762688,27545600
1704513465000,545677312,27762688,27779072,27766784,27545600
1704513480000,545677312,27766784,27783168,27770880,27545600
1704513495000,545677312,27774976,27787264,27770880,27545600
1704513510000,545783808,27774976,27795456,27779072,27815936
1704513525000,545783808,27779072,27795456,27779072,27815936
1704513540000,545783808,27783168,27803648,27791360,27815936
1704513555000,545783808,27795456,27807744,27791360,27815936
1704513570000,545783808,27795456,27815936,27803648,27815936
1704513585000,545783808,27803648,27815936,27803648,27815936
1704513600000,545783808,27811840,27824128,27803648,27815936
1704513615000,545783808,27815936,27828224,27811840,27815936
1704513630000,545783808,27820032,27836416,27811840,27815936
1704513645000,545783808,27824128,27840512,27824128,27815936
1704513660000,545783808,27828224,27844608,27824128,27815936
1704513675000,545783808,27836416,27848704,27832320,27815936
1704513690000,545783808,27840512,27856896,27836416,27815936
1704513705000,545783808,27844608,27860992,27836416,27815936
1704513720000,545783808,27852800,27865088,27844608,27815936
1704513735000,545783808,27856896,27869184,27848704,27815936
1704513750000,545783808,27860992,27877376,27856896,27815936
1704513765000,545783808,27869184,27881472,27856896,27815936
1704513780000,545783808,27873280,27889664,27860992,27815936
1704513795000,545783808,27881472,27893760,27865088,27815936
1704513810000,545783808,27885568,27901952,27869184,27815936
1704513825000,545783808,27889664,27906048,27877376,27815936
1704513840000,545783808,27893760,27910144,27881472,27815936
1704513855000,545783808,27897856,27914240,27889664,27815936
1704513870000,545783808,27901952,27918336,27889664,27815936
1704513885000,545783808,27906048,27922432,27893760,27815936
1704513900000,545783808,27914240,27930624,27897856,27815936
1704513915000,545783808,27926528,27930624,27901952,27815936
1704513930000,545783808,27930624,27942912,27910144,27815936
1704513945000,545783808,27934720,27951104,27918336,27815936
1704513960000,545783808,27938816,27955200,27922432,27815936
1704513975000,545783808,27942912,27959296,27922432,27815936
1704513990000,545783808,27947008,27963392,27926528,27815936
1704514005000,545783808,27955200,27967488,27930624,27815936
1704514020000,545783808,27955200,27975680,27934720,27815936
1704514035000,545783808,27963392,27975680,27942912,27815936
1704514050000,545783808,27967488,27987968,27951104,27815936
1704514065000,545783808,27975680,27987968,27955200,27815936
1704514080000,545783808,27979776,27996160,27955200,27815936
1704514095000,545783808,27987968,28000256,27959296,27815936
1704514110000,545783808,27987968,28008448,27963392,27815936
1704514125000,545783808,27996160,28008448,27967488,27815936
1704514140000,545783808,27996160,28016640,27975680,27815936
1704514155000,545783808,28004352,28016640,27979776,27815936
1704514170000,545783808,28016640,28028928,27983872,27815936
1704514185000,545783808,28016640,28033024,27992064,27815936
1704514200000,273833984,28024832,28037120,27992064,27815936
1704514215000,undefined,28024832,28041216,27996160,27815936
1704514230000,undefined,28037120,28045312,28000256,27815936
1704514245000,undefined,28045312,28053504,28008448,27815936
1704514260000,undefined,28045312,28057600,28012544,27815936
