sep=,
"Time","open5gs-iperf01-754c648d78-dm6s5","open5gs-iperf04-6589c5768d-8szmr","open5gs-ue01-7886556548-7cn5n","open5gs-ue01-7886556548-9cgct","open5gs-ue01-7886556548-gtj6w","open5gs-ue01-7886556548-m4nxr","open5gs-upf-1-67b984f4f6-5rvwf","open5gs-upf-2-f49c78d8-4kfh7","open5gs-upf-3-78c957744b-27f2c","open5gs-upf-4-6859f69b7d-5mpt9"
1704512580000,undefined,0,undefined,undefined,undefined,undefined,2025.3333333333333,1274.7,2062.233333333333,1994.4
1704512640000,2.3333333333333335,0,undefined,undefined,undefined,undefined,1598.2333333333333,1809.5666666666666,2276.233333333333,1876.3
1704512700000,26.932435585480484,0,4175008.499716676,1406880.8039732007,1813288.8570380986,102.09659678010732,16046888.5,2128.1,3252.4666666666667,2544.1
1704512760000,18.799373354221526,0,9031483.583880536,6196502.116596114,6875064.264524516,8843442.651911603,12677173.200000001,2232.8,2606.3333333333335,1219.2739757991933
1704512820000,21.133333333333333,0,10940327.222425919,9097375.387487084,4286783.273890871,8322694.610179661,11473067.43108563,2232.7255758141396,1957.4680843971867,2531.215626145795
1704512880000,20.2,0,9116473.1,8965126.366666667,3320679.466666667,8505224.5,10126655.533333333,1488.5333333333333,1952.9333333333334,2311.089630345655
1704512940000,24.6,0,8501818.233333332,7466224.233333333,4590885.133333334,10559872.466666667,9835388.966666667,1918.7,2274.3,1878.0373987533749
1704513000000,18.8,0,8223146.166666667,8669777.6,4974116.100000001,8067929.933333334,11856659.7,1706.8,2279.633333333333,1985.4666666666667
1704513060000,13.00043334777826,0,7367173.06089797,7860877.637412086,3794636.0121329287,8232207.159761341,11054695.789859662,2346.44488149605,1950.331677722591,1882.5666666666666
1704513120000,19.733333333333334,0,6991353.521549282,10006207.826405786,4298170.194326855,8970429.3190227,15586286.990433652,2023.3325555814806,1306.7564414519516,1987.3329110970367
1704513180000,13,0,10507803.739875337,10004778.70737642,4050894.7035098826,7970350.688310389,12299331.133333333,1814,2602.9333333333334,1766.2666666666667
1704513240000,23.2,0,7570534.884496151,9934782.626087535,3860638.654621821,12262243.808126938,12678808.9,2128.1,1638.1,1774.325810860362
1704513300000,18.800626687556253,0,10742807.139762007,4847179.494016865,4996697.610079664,6836010.866304456,7508665.399999999,1488.5333333333333,2284.233333333333,2094.7031567718923
1704513360000,18.8,0,8711863.904536515,4800169.861004633,6035518.682710577,7730829.872337589,16760702.956765227,2019.0339677989268,1960.2653421780726,1108.3333333333333
1704513420000,18.799373354221526,0,7456565.21449285,5340883.770540982,4636036.132128929,8220002.766574448,12613533.733333334,1595.1666666666667,1960.2,1882.5666666666666
1704513480000,18.8,0,7343737.475417485,9172518.782707242,5751470.684310523,8745539.3820206,7439915.530517684,1918.7639587986266,1628.2209406980232,2321.377379245975
1704513540000,13,0,5590231.800000001,8897624.533333333,4110010.8666666667,5618375.300000001,12855337.7,1488.5333333333333,2601,2097.3
1704513600000,13,0,8176405.313510451,7936643.988132938,4615931.497716591,8772240.908030268,10164580.386012867,2023.4674489149638,1643.4881162705424,2097.3
1704513660000,13,0,6389467.233333333,9870499.766666666,4055582.666666667,11034773.633333333,19322517.03333333,1706.8,1962.8666666666666,2097.2300923302555
1704513720000,12.999566681110629,0,9139920.866666667,8763805.766666666,4486785.866666667,8918950.7,17272409.053031564,2128.02906569781,2274.224192526916,1114.5333333333333
1704513780000,18.8,0,10319764.074530847,10324389.220359322,4248217.02609913,9059693.943535216,12641653.544881836,2234.6588447051763,1301.4232858904702,1110.1036701223375
1704513840000,18.8,0,10357650.933333334,7684300.766666667,3531542.6666666665,4278478.033333333,12783822.627420915,2132.6044201473383,1958.065268842295,2099.1
1704513900000,30.133333333333333,0,9375032.932235591,8227865.071164293,4668181.093963534,9226860.604646511,16699557.833333334,1274.7,1960.2,2317.4333333333334
1704513960000,24.6,0,4101910.6666666665,9986301.366666667,4014757.4666666663,6413043.933333334,13548199.760008,1911.7029432352253,1633.4455518149393,2985.4004866504447
1704514020000,18.8,0,9948896.029867664,10212172.305743525,5623072.235741192,7367745.291509718,11514629.366666667,2023.4,2613.6,2320.1
1704514080000,24.600820027334244,0,7395391.020299323,8202782.740575314,5343686.843771874,8434428.352388253,14968677.866666667,1279.1333333333334,2592,2102.9666666666667
1704514140000,24.6,0,9285352.721575947,9718001.299956668,2585691.3436218794,9638248.391720276,11236478.700000001,1706.8,1635.4333333333334,1879.9
1704514200000,18.8,0,7889545.21817394,8524320.51068369,4525209.206973566,7264168.638954632,13577295.176505884,2023.4674489149638,1952.9984332811096,2544.1
1704514260000,0,0,undefined,undefined,undefined,undefined,1838.4666666666667,1702.3666666666666,2608.266666666667,1767.7333333333333

