sep=,
"Time","open5gs-ue01 (10.245.1.226)"
1704569880000,6.50975
1704569895000,4.045
1704569910000,3.4807499999999996
1704569925000,2.3925
1704569940000,2.8345000000000002
1704569955000,3.5515
1704569970000,2.6525
1704569985000,3.31175
1704570000000,2.75875
1704570015000,2.96075
1704570030000,3.14425
1704570045000,1.7962500000000001
1704570060000,3.836
1704570075000,4.01825
1704570090000,2.73775
1704570105000,5.91675
1704570120000,1.8515000000000001
1704570135000,2.58125
1704570150000,2.564
1704570165000,3.0172499999999998
1704570180000,4.15775
1704570195000,2.6862500000000002
1704570210000,4.041499999999999
1704570225000,3.76825
1704570240000,3.6017500000000005
1704570255000,4.29625
1704570270000,6.907500000000001
1704570285000,2.49375
1704570300000,3.99875
1704570315000,3.5382500000000006
1704570330000,2.1835
1704570345000,2.5524999999999998
1704570360000,3.6225
1704570375000,3.9795
1704570390000,2.4645
1704570405000,3.32425
1704570420000,1.7545
1704570435000,2.4539999999999997
1704570450000,3.21025
1704570465000,3.1
1704570480000,2.9475
1704570495000,2.3609999999999998
1704570510000,2.8077500000000004
1704570525000,2.1685
1704570540000,3.3365
1704570555000,2.69825
1704570570000,5.633
1704570585000,2.23125
1704570600000,2.6719999999999997
1704570615000,2.45925
1704570630000,5.49375
1704570645000,6.1754999999999995
1704570660000,7.7315000000000005
1704570675000,5.341
1704570690000,4.16225
1704570705000,3.1967499999999998
1704570720000,2.76275
1704570735000,2.42275
1704570750000,3.7982499999999995
1704570765000,4.2725
1704570780000,1.64975
1704570795000,2.9797499999999997
1704570810000,3.3810000000000002
1704570825000,6.151666666666666
1704570840000,3.077
1704570855000,1.859
1704570870000,2.1366666666666667
1704570885000,2.2943333333333333
1704570900000,1.6196666666666666
1704570915000,1.8333333333333335
1704570930000,1.6976666666666667
1704570945000,2.599666666666667
1704570960000,1.0963333333333334
1704570975000,3.4863333333333335
1704570990000,1.4663333333333335
1704571005000,2.2996666666666665
1704571020000,2.4593333333333334
1704571035000,3.517666666666667
1704571050000,3.0043333333333333
1704571065000,3.993
1704571080000,3.2683333333333335
1704571095000,3.9656666666666665
1704571110000,1.5776666666666666
1704571125000,9.665333333333335
1704571140000,1.429
1704571155000,5.4206666666666665
1704571170000,2.5256666666666665
1704571185000,8.472000000000001
1704571200000,1.484
1704571215000,1.2836666666666665
1704571230000,1.0866666666666667
1704571245000,2.03
1704571260000,1.3073333333333335
1704571275000,2.2826666666666666
1704571290000,2.852333333333333
1704571305000,3.092333333333333
1704571320000,2.1786666666666665
1704571335000,2.662666666666667
1704571350000,4.224666666666667
1704571365000,5.517333333333333
1704571380000,2.062
1704571395000,5.554333333333333

