sep=,
"Time","open5gs-ue01-7886556548-7gq8b","open5gs-ue01-7886556548-89fdl","open5gs-ue01-7886556548-fvhhm","open5gs-ue01-7886556548-qbtng","open5gs-ue02-845478dcb4-25z6w","open5gs-ue02-845478dcb4-4tht4","open5gs-ue02-845478dcb4-99xsk","open5gs-ue02-845478dcb4-9j8gc","open5gs-ue02-845478dcb4-bqb5b","open5gs-ue02-845478dcb4-d2dmf","open5gs-ue02-845478dcb4-dnvqx","open5gs-ue02-845478dcb4-hmdwb","open5gs-ue02-845478dcb4-jjcms","open5gs-ue02-845478dcb4-llgrc","open5gs-ue02-845478dcb4-ngvff","open5gs-ue02-845478dcb4-nqc5f","open5gs-ue02-845478dcb4-ntt2n","open5gs-ue02-845478dcb4-pfrh4","open5gs-ue02-845478dcb4-pgfvr","open5gs-ue02-845478dcb4-srgsf","open5gs-ue02-845478dcb4-vdzvs","open5gs-ue02-845478dcb4-x9l8q","open5gs-ue02-845478dcb4-xwp9h","open5gs-ue02-845478dcb4-zx59q"
2024-01-06 16:38:00,392 B/s,223 B/s,319 B/s,354 B/s,,,,,,,,376 B/s,,,,,,,,,,,,
2024-01-06 16:39:00,277 B/s,242 B/s,242 B/s,241 B/s,,,,,,,,238 B/s,,,,,,,,,,,,
2024-01-06 16:40:00,185 B/s,253 B/s,241 B/s,232 B/s,,,,,,,,266 B/s,,,,,,,,,,,,
2024-01-06 16:41:00,250 B/s,226 B/s,280 B/s,297 B/s,,,,,,,,281 B/s,,,,,,,,,,,,
2024-01-06 16:42:00,232 B/s,234 B/s,236 B/s,244 B/s,,,,,,,,209 B/s,,,,,,,,,,,,
2024-01-06 16:43:00,238 B/s,236 B/s,310 B/s,311 B/s,,319 B/s,,,391 B/s,319 B/s,,329 B/s,,,,,,,,,,,274 B/s,
2024-01-06 16:44:00,246 B/s,296 B/s,238 B/s,356 B/s,,267 B/s,,,299 B/s,240 B/s,,133 B/s,,,,,,,,,,,258 B/s,
2024-01-06 16:45:00,138 B/s,291 B/s,283 B/s,197 B/s,,273 B/s,,,243 B/s,181 B/s,,377 B/s,,,,,,,,,,,302 B/s,
2024-01-06 16:46:00,234 B/s,108 B/s,231 B/s,340 B/s,,159 B/s,,,132 B/s,245 B/s,,288 B/s,,,,,,,,,,,118 B/s,
2024-01-06 16:47:00,287 B/s,190 B/s,234 B/s,249 B/s,,267 B/s,,,291 B/s,158 B/s,,195 B/s,,,,,,,,,,,212 B/s,
2024-01-06 16:48:00,236 B/s,236 B/s,193 B/s,250 B/s,315 B/s,306 B/s,248 B/s,371 B/s,274 B/s,317 B/s,,206 B/s,268 B/s,293 B/s,,,,,,,,,319 B/s,
2024-01-06 16:49:00,230 B/s,159 B/s,292 B/s,342 B/s,288 B/s,239 B/s,209 B/s,225 B/s,287 B/s,303 B/s,,195 B/s,285 B/s,221 B/s,,,,,,,,,188 B/s,
2024-01-06 16:50:00,334 B/s,155 B/s,292 B/s,273 B/s,283 B/s,262 B/s,110 B/s,235 B/s,231 B/s,257 B/s,,231 B/s,242 B/s,118 B/s,,,,,,,,,237 B/s,
2024-01-06 16:51:00,240 B/s,293 B/s,363 B/s,240 B/s,221 B/s,248 B/s,297 B/s,248 B/s,305 B/s,244 B/s,,261 B/s,244 B/s,399 B/s,,,,,,,,,378 B/s,
2024-01-06 16:52:00,255 B/s,273 B/s,215 B/s,263 B/s,269 B/s,213 B/s,233 B/s,281 B/s,221 B/s,304 B/s,,183 B/s,190 B/s,235 B/s,,,,,,,,,120 B/s,
2024-01-06 16:53:00,250 B/s,212 B/s,198 B/s,278 B/s,126 B/s,280 B/s,313 B/s,336 B/s,277 B/s,280 B/s,,275 B/s,285 B/s,314 B/s,,,361 B/s,331 B/s,,,247 B/s,416 B/s,321 B/s,288 B/s
2024-01-06 16:54:00,334 B/s,255 B/s,315 B/s,251 B/s,259 B/s,316 B/s,150 B/s,243 B/s,174 B/s,235 B/s,,212 B/s,185 B/s,219 B/s,,,263 B/s,263 B/s,,,154 B/s,225 B/s,158 B/s,212 B/s
2024-01-06 16:55:00,261 B/s,163 B/s,236 B/s,180 B/s,336 B/s,276 B/s,277 B/s,250 B/s,206 B/s,122 B/s,,262 B/s,258 B/s,227 B/s,,,248 B/s,316 B/s,,,313 B/s,320 B/s,276 B/s,271 B/s
2024-01-06 16:56:00,207 B/s,267 B/s,232 B/s,221 B/s,197 B/s,155 B/s,228 B/s,209 B/s,235 B/s,181 B/s,,210 B/s,242 B/s,225 B/s,,,142 B/s,147 B/s,,,147 B/s,157 B/s,306 B/s,239 B/s
2024-01-06 16:57:00,289 B/s,252 B/s,311 B/s,152 B/s,241 B/s,270 B/s,245 B/s,228 B/s,239 B/s,291 B/s,,128 B/s,319 B/s,235 B/s,,,239 B/s,252 B/s,,,280 B/s,213 B/s,237 B/s,261 B/s
2024-01-06 16:58:00,258 B/s,367 B/s,270 B/s,201 B/s,287 B/s,171 B/s,191 B/s,352 B/s,306 B/s,335 B/s,310 B/s,228 B/s,275 B/s,277 B/s,359 B/s,216 B/s,287 B/s,260 B/s,219 B/s,224 B/s,233 B/s,385 B/s,261 B/s,195 B/s
2024-01-06 16:59:00,232 B/s,238 B/s,234 B/s,160 B/s,255 B/s,183 B/s,289 B/s,217 B/s,250 B/s,251 B/s,146 B/s,309 B/s,241 B/s,147 B/s,249 B/s,243 B/s,282 B/s,275 B/s,375 B/s,247 B/s,115 B/s,157 B/s,268 B/s,131 B/s
2024-01-06 17:00:00,142 B/s,267 B/s,242 B/s,209 B/s,193 B/s,360 B/s,257 B/s,235 B/s,157 B/s,219 B/s,288 B/s,109 B/s,311 B/s,275 B/s,259 B/s,307 B/s,156 B/s,257 B/s,230 B/s,197 B/s,302 B/s,245 B/s,239 B/s,215 B/s
