sep=,
"Time","open5gs-ue01","open5gs-ue02"
1704569865000,119746560,122589184
1704569880000,488882176,123453440
1704569895000,502407168,126033920
1704569910000,506658816,127672320
1704569925000,513286144,129720320
1704569940000,516653056,130699264
1704569955000,522588160,132259840
1704569970000,527908864,133443584
1704569985000,533999616,134635520
1704570000000,537735168,134635520
1704570015000,539103232,134635520
1704570030000,539365376,134635520
1704570045000,539824128,134635520
1704570060000,540569600,134955008
1704570075000,541343744,134955008
1704570090000,541343744,134955008
1704570105000,541605888,134955008
1704570120000,541605888,134955008
1704570135000,541605888,134955008
1704570150000,541605888,134955008
1704570165000,541605888,498089984
1704570180000,541605888,630329344
1704570195000,541605888,636620800
1704570210000,541605888,643063808
1704570225000,542117888,651513856
1704570240000,542380032,656146432
1704570255000,542380032,662638592
1704570270000,542380032,667078656
1704570285000,542380032,674873344
1704570300000,542633984,675966976
1704570315000,542883840,677289984
1704570330000,542883840,678371328
1704570345000,542883840,678625280
1704570360000,542883840,679243776
1704570375000,542883840,679497728
1704570390000,542883840,679497728
1704570405000,542883840,679989248
1704570420000,542883840,679989248
1704570435000,542883840,679989248
1704570450000,542883840,680243200
1704570465000,542883840,680497152
1704570480000,542883840,1294155776
1704570495000,542883840,1303351296
1704570510000,542883840,1314385920
1704570525000,542883840,1320951808
1704570540000,542883840,1329119232
1704570555000,542883840,1335193600
1704570570000,542883840,1343655936
1704570585000,542883840,1349259264
1704570600000,542883840,1356083200
1704570615000,542883840,1356611584
1704570630000,542883840,1357975552
1704570645000,542883840,1358745600
1704570660000,542883840,1359183872
1704570675000,542883840,1359679488
1704570690000,542883840,1360121856
1704570705000,542883840,1360646144
1704570720000,542883840,1362178048
1704570735000,542883840,1362178048
1704570750000,542883840,1361186816
1704570765000,542883840,1413140480
1704570780000,543125504,1376112640
1704570795000,543125504,1364774912
1704570810000,543125504,1371983872
1704570825000,543125504,1364099072
1704570840000,542642176,1376960512
1704570855000,542642176,1378729984
1704570870000,542953472,1347252224
1704570885000,542953472,1354104832
1704570900000,542953472,1354981376
1704570915000,542953472,1355780096
1704570930000,542953472,1350754304
1704570945000,542953472,1351274496
1704570960000,541913088,1348067328
1704570975000,541913088,1342324736
1704570990000,541913088,1340346368
1704571005000,541913088,1339461632
1704571020000,541913088,1339691008
1704571035000,541913088,1338478592
1704571050000,541913088,1288949760
1704571065000,541913088,1233563648
1704571080000,541913088,1237655552
1704571095000,541913088,1239126016
1704571110000,541913088,1241669632
1704571125000,541913088,1234350080
1704571140000,541913088,1238802432
1704571155000,541913088,1238503424
1704571170000,541913088,1239879680
1704571185000,541913088,1233301504
1704571200000,541913088,1248198656
1704571215000,541913088,1247232000
1704571230000,541913088,1248989184
1704571245000,541913088,1251258368
1704571260000,541913088,1254023168
1704571275000,541913088,1248079872
1704571290000,541913088,1242349568
1704571305000,541913088,1243607040
1704571320000,541913088,1241976832
1704571335000,541913088,1243262976
1704571350000,541913088,1251139584
1704571365000,541913088,1252167680
1704571380000,541913088,1240420352
1704571395000,542203904,1240342528
1704571410000,133169152,undefined

