sep=,
"Time","open5gs-ue01-7886556548-7gq8b","open5gs-ue01-7886556548-89fdl","open5gs-ue01-7886556548-fvhhm","open5gs-ue01-7886556548-qbtng","open5gs-ue02-845478dcb4-25z6w","open5gs-ue02-845478dcb4-4tht4","open5gs-ue02-845478dcb4-99xsk","open5gs-ue02-845478dcb4-9j8gc","open5gs-ue02-845478dcb4-bqb5b","open5gs-ue02-845478dcb4-d2dmf","open5gs-ue02-845478dcb4-dnvqx","open5gs-ue02-845478dcb4-hmdwb","open5gs-ue02-845478dcb4-jjcms","open5gs-ue02-845478dcb4-llgrc","open5gs-ue02-845478dcb4-ngvff","open5gs-ue02-845478dcb4-nqc5f","open5gs-ue02-845478dcb4-ntt2n","open5gs-ue02-845478dcb4-pfrh4","open5gs-ue02-845478dcb4-pgfvr","open5gs-ue02-845478dcb4-srgsf","open5gs-ue02-845478dcb4-vdzvs","open5gs-ue02-845478dcb4-x9l8q","open5gs-ue02-845478dcb4-xwp9h","open5gs-ue02-845478dcb4-zx59q"
1704569880000,3322319.933333333,1820804.8666666667,669662.1333333333,1467894.6666666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704569940000,10108478.666666666,9296642.433333334,8918954.133333333,12402884.8,undefined,undefined,undefined,undefined,undefined,undefined,undefined,816428.3333333334,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570000000,7407937.731257709,8698276.609220307,8829921.89739658,7111241.674722491,undefined,undefined,undefined,undefined,undefined,undefined,undefined,719942.531417714,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570060000,9525431.7,8307758.9,9113239.633333333,10780779.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,833265.7421914064,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570120000,8442624.666666666,8241949.199999999,8345383.733333333,9018769.266666666,undefined,undefined,undefined,undefined,undefined,undefined,undefined,723556.9518983966,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570180000,4609889.366666667,11297991.833333332,7066544.733333333,5980377.766666668,undefined,undefined,undefined,undefined,undefined,undefined,undefined,804985.6,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570240000,5355097.133333333,9991006.1,8544124.333333334,7087260.266666667,undefined,878442.3333333333,undefined,undefined,513620.6333333333,706587.8333333333,undefined,441875.1333333333,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,603059.6333333333,undefined
1704570300000,9342073.566666666,10287134.899999999,9652443.6,7983246.666666667,undefined,889093.6333333333,undefined,undefined,843915.8333333333,1013122.2666666666,undefined,1038797,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,501123.56666666665,undefined
1704570360000,4466681.889396314,9398874.162472082,11246727.390913032,8195211.807060236,undefined,526882.0333333333,undefined,undefined,1063498.2333333334,888987.8,undefined,521581.4666666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,920078.1666666667,undefined
1704570420000,9356314.833333332,7334507.033333333,8904846.3,9374988.633333333,undefined,951842.6052464917,undefined,undefined,957150.7616412786,938516.08279724,undefined,785374.654178194,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1145814.1728609046,undefined
1704570480000,8397096.933333334,8237252,7569524.933333334,8527751.766666668,undefined,646424.5808193607,undefined,undefined,769571.3523784126,1188317.9105970198,undefined,724296.5432181072,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,834295.9098636622,undefined
1704570540000,8837892.666666668,10451669.833333332,9549075.899999999,8049197.366666667,837727.6424119195,657858.0047331755,653482.6839105363,742099.530015666,825402.0865971134,422476.88410386315,undefined,783703.6765441152,859328.7890403653,679284.523849205,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,721627.3124229192,undefined
1704570600000,11208731.466666667,9491749.033333335,9441129.6,9281030.166666668,752661.3333333333,759800.4,1001553.2333333334,605634.0666666667,884761.4333333333,845632.3333333333,undefined,898788.9333333333,943143.4333333333,774840.7,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,482580.8333333334,undefined
1704570660000,8933065.6,6356557.800000001,7155804.1,8833893.333333332,716368.7333333334,997085.6000000001,889048.8,778378.1666666667,747412.0333333333,874094.7666666666,undefined,950061.3333333333,713664.5,486178.3333333334,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,814791.5,undefined
1704570720000,4436144.766666667,9464391.666666668,3704908.8,8895518.7,1003301.7232758908,818178.7607079763,829743.9418686044,856359.8880037332,771904.1698610046,527751.8416052798,undefined,827911.3029565681,921833.1055631479,839532.2822572581,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,912973.4342188593,undefined
1704570780000,9168132.5,7675388.199999999,7179367.366666667,3971687.766666667,819962.3012566247,699563.0478984034,1030775.0408319721,855355.8881370621,773090.3636545448,1094483.0838972032,undefined,870416.6527782406,858960.4346521783,744696.3434552181,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1002466.184460518,undefined
1704570840000,6668289.2,9161379,10014575.3,3576897.9333333336,1042267.4666666667,528657.4,1086526.5,734136.6333333333,578210.7,1013066.8333333333,undefined,706578.0666666667,713773.2,827056.9333333333,undefined,undefined,928067.6333333333,730546.6666666666,undefined,undefined,900644.6333333333,836861.4333333333,427716.8333333334,749190.3666666667
1704570900000,9509602.766666666,9553635.133333333,7315788.033333333,4171250.9,825396.9465648856,926338.5779525985,817345.1781726058,761610.9536984568,773983.0661022034,582783.1261042035,undefined,745691.6563885463,789053.1351045035,775743.1247708257,undefined,undefined,822734.624487483,439222.4740824694,undefined,undefined,854504.7501583386,822669.0889696323,683673.7557918597,700458.9152971766
1704570960000,7898750.5,13869099.933333334,3451032.8666666667,5028545.633333334,868643.4785507149,801461.951268291,718150.4949835006,1041418.7527082431,816463.9178694043,1121045.898470051,undefined,920940.5019832673,1173380.9206359787,1075032.1322622579,undefined,undefined,439679.744008533,408264.5245158494,undefined,undefined,471905.9031365621,412689.6770107663,713723.5092163594,885599.013366221
