sep=,
"Time","open5gs-upf-1-57448f9666-djsrs","open5gs-upf-2-694b8b9978-vqfx5","open5gs-upf-3-749c8fcbc6-2mvcg","open5gs-upf-4-5675d7786c-nfjhw"
1704785700000,520.6840228007601,413.4137804593487,465.2155071835728,437.6812560418681
1704785760000,410.26666666666665,463.53333333333336,591.9333333333333,406.6
1704785820000,32387987.399579987,965904.5301510051,156833.76112537086,94229456.18187273
1704785880000,39732640.754691824,758433.5477849261,185970.59901996734,61372217.007233575
1704785940000,27429978.665955536,640757.825260842,132266.54221807394,38876213.87379579
1704786000000,29112635.645478483,757532.2822572581,176716.30945635145,67967779.77400753
1704786060000,39564378.52071598,814196.726775774,151554.21485950466,56257640.14532849
1704786120000,27730678.53333333,2693193.333333333,293314,60473046
1704786180000,32263945.86847105,4897032.76557448,533557.4147528416,79871770.94096863
1704786240000,36918651.4,4805787.333333334,490861.6666666667,63069190.46666667
1704786300000,32329611.066666666,3483898,490400.8666666667,61529951.666666664
1704786360000,31094636.53333333,3546162.833333333,389377.6666666667,52316592.13333334
1704786420000,31022124.666666664,7588393.3,583866.9333333333,48929505.2
1704786480000,19792346.67822261,4806580.086002868,732624.0874695824,62705754.92516418
1704786540000,15075643.4,7695574.7,349888.8666666667,37345308.33333333
1704786600000,17961973.733333334,4457911,701166.3999999999,47534381.2
1704786660000,14219549.948335055,8154348.055064831,622435.3854871504,55127773.94086863
1704786720000,15788586.719557319,10275777.625920864,760117.9372645755,70713056.06853563
1704786780000,13845064.502150074,13295677.98926631,757223.9741324711,57319572.85242842
1704786840000,22667230.53333333,7154038.800000001,884540.1333333333,55740750.8
1704786900000,13349124.333333334,10702284.3,334757.6,41995779.333333336
1704786960000,16675216.466666669,13713641.566666666,621397.9333333333,55212020.06666666
1704787020000,13277016.43388113,11868827.994266476,642800.6266875563,32187089.969665658
1704787080000,18047403.666666664,14557332.733333334,769992.1333333333,59812477.46666667
1704787140000,14918696.556551885,13870887.396246541,731820.8606953565,54927119.70399013
1704787200000,17009600,12416217.5,694433.6666666667,48665139.599999994
1704787260000,21065665.666666668,18444437.633333333,489329.8666666667,53315519.53333333

