sep=,
"Time","open5gs-upf-1","open5gs-upf-2","open5gs-upf-3","open5gs-upf-4"
1704863445000,28078080,27844608,27684864,27770880
1704863460000,28119040,27852800,27688960,27779072
1704863475000,28123136,27856896,27697152,27783168
1704863490000,28131328,27860992,27701248,27787264
1704863505000,28131328,27865088,27705344,27791360
1704863520000,28139520,27869184,27709440,27799552
1704863535000,28143616,27877376,27717632,27803648
1704863550000,28147712,27877376,27717632,27803648
1704863565000,28155904,27889664,27721728,27815936
1704863580000,28155904,27889664,27729920,27815936
1704863595000,28164096,27893760,27734016,27820032
1704863610000,28164096,27897856,27738112,27824128
1704863625000,28168192,27901952,27738112,27828224
1704863640000,28176384,27910144,27750400,27836416
1704863655000,28180480,27910144,27750400,27840512
1704863670000,28188672,27918336,27758592,27848704
1704863685000,28188672,27922432,27762688,27848704
1704863700000,28196864,27926528,27766784,27856896
1704863715000,28196864,27930624,27770880,27856896
1704863730000,28200960,27934720,27774976,27860992
1704863745000,28254208,28037120,27865088,27963392
1704863760000,28295168,28045312,27881472,27971584
1704863775000,28299264,28049408,27885568,27975680
1704863790000,28303360,28049408,27889664,27979776
1704863805000,28307456,28053504,27893760,27983872
1704863820000,28311552,28057600,27897856,27987968
1704863835000,28315648,28061696,27901952,27987968
1704863850000,28323840,28069888,27910144,27996160
1704863865000,28323840,28073984,27910144,28000256
1704863880000,28332032,28078080,27914240,28004352
1704863895000,28336128,28086272,27922432,28012544
1704863910000,28340224,28086272,27926528,28016640
1704863925000,28344320,28090368,27930624,28020736
1704863940000,28348416,28094464,27934720,28028928
1704863955000,28352512,28102656,27942912,28033024
1704863970000,28360704,28106752,27947008,28033024
1704863985000,28360704,28110848,27947008,28037120
1704864000000,28364800,28119040,27951104,28041216
1704864015000,28372992,28119040,27959296,28049408
1704864030000,28377088,28123136,27963392,28053504
1704864045000,28385280,28205056,28057600,28119040
1704864060000,28499968,28254208,28094464,28180480
1704864075000,28508160,28254208,28094464,28184576
1704864090000,28508160,28258304,28098560,28188672
1704864105000,28512256,28262400,28102656,28192768
1704864120000,28516352,28266496,28102656,28200960
1704864135000,28528640,28278784,28119040,28205056
1704864150000,28532736,28278784,28119040,28213248
1704864165000,28532736,28286976,28127232,28213248
1704864180000,28540928,28286976,28127232,28221440
1704864195000,28540928,28295168,28131328,28221440
1704864210000,28549120,28295168,28135424,28233728
1704864225000,28549120,28303360,28139520,28233728
1704864240000,28557312,28307456,28147712,28237824
1704864255000,28565504,28311552,28151808,28246016
1704864270000,28565504,28319744,28160000,28246016
1704864285000,28573696,28319744,28160000,28254208
1704864300000,28573696,28327936,28168192,28254208
1704864315000,28581888,28327936,28168192,28266496
1704864330000,28581888,28332032,28172288,28266496
1704864345000,28606464,28368896,28217344,28307456
1704864360000,28655616,28442624,28246016,28340224
1704864375000,28663808,28454912,28258304,28344320
1704864390000,28663808,28454912,28258304,28352512
1704864405000,28672000,28463104,28258304,28356608
1704864420000,28676096,28467200,28270592,28364800
1704864435000,28684288,28471296,28270592,28364800
1704864450000,28684288,28475392,28278784,28368896
1704864465000,28688384,28475392,28278784,28372992
1704864480000,28692480,28483584,28286976,28372992
1704864495000,28696576,28487680,28291072,28389376
1704864510000,28704768,28499968,28303360,28389376
1704864525000,28708864,28499968,28303360,28397568
1704864540000,28717056,28504064,28303360,28397568
1704864555000,28717056,28508160,28311552,28401664
1704864570000,28725248,28508160,28311552,28405760
1704864585000,28725248,28516352,28319744,28409856
1704864600000,28729344,28516352,28319744,28418048
1704864615000,28737536,28532736,28332032,28422144
1704864630000,28741632,28532736,28336128,28430336
1704864645000,28749824,28540928,28360704,28434432
1704864660000,28999680,28786688,28483584,28696576
1704864675000,29024256,28815360,28659712,28721152
1704864690000,29028352,28819456,28667904,28725248
1704864705000,29032448,28823552,28672000,28725248
1704864720000,29040640,28827648,28676096,28733440
1704864735000,29044736,28835840,28684288,28733440
1704864750000,29052928,28839936,28688384,28741632
1704864765000,29052928,28844032,28688384,28745728
1704864780000,29057024,28844032,28692480,28753920
1704864795000,29061120,28852224,28700672,28758016
1704864810000,29069312,28856320,28704768,28762112
1704864825000,29073408,28860416,28708864,28766208
1704864840000,29077504,28864512,28712960,28770304
1704864855000,29085696,28872704,28721152,28770304
1704864870000,29085696,28872704,28721152,28782592
1704864885000,29089792,28884992,28725248,28786688
1704864900000,29093888,28884992,28733440,28790784
1704864915000,29102080,28889088,28737536,28794880
1704864930000,29106176,28893184,28741632,28798976
1704864945000,29110272,28897280,28745728,28803072
1704864960000,29110272,28901376,28749824,28811264
1704864975000,29114368,28909568,28753920,28811264
1704864990000,29122560,28913664,28762112,28819456

