sep=,
"Time","open5gs-upf-1-6fc8895746-scn2r","open5gs-upf-2-694b8b9978-nmdgb","open5gs-upf-3-749c8fcbc6-n9wfv","open5gs-upf-4-5675d7786c-n5gxr"
1704863400000,1092.8,1304.1333333333334,1199.4333333333334,1989.9333333333334
1704863460000,2016.3666666666666,2135.5333333333333,1874.3666666666666,1777.6
1704863520000,13828036.866666667,420407.7,81392.09999999999,32704224.533333335
1704863580000,10358225.466666667,362355.6333333333,99269.93333333333,38034151.93333333
1704863640000,10905778.8,447340.8333333333,107493.70000000001,26483551.4
1704863700000,19094006.266875565,336507.2502416747,109438.18127270909,36548991.49971666
1704863760000,12542952.99843328,409143.8714623821,84737.75792526419,30765646.721557386
1704863820000,20011557,1422815.5666666667,358332.06666666665,17782305
1704863880000,18202490.4830161,2050225.5741858063,292078.7359578653,32696483.082769427
1704863940000,15084148.866666665,2174303.5,315266.5333333333,31952110.066666666
1704864000000,12697987.266666666,2222529.0999999996,359012.1333333333,33836139.699999996
1704864060000,9356619.533333333,2440893.033333333,251461.19999999998,14772894.9
1704864120000,17701388.2,2357984,419586.13333333336,36486029.733333334
1704864180000,18294266.766666666,4692149.833333333,296123.86666666664,27213869.900000002
1704864240000,16037051.266666666,3429093.3,335848.73333333334,35762092.9
1704864300000,17239114.9,4114322.7333333334,476441,34588149.233333334
1704864360000,13365895.366666665,3155156.6333333333,421791.4,28174353.466666665
1704864420000,12756516.566666666,5140870.466666667,399451.4,22000062.833333332
1704864480000,15544404.913497116,6391279.3093103105,335676.5225507517,26070859.661988735
1704864540000,14996584.5,6124374.866666666,418123.1333333333,34996911.233333334
1704864600000,12885994.233333334,6022790.8,411593.8666666667,30489289.2
1704864660000,12412874.066666666,7461856,375580.4666666667,25304535.866666667
1704864720000,17999625.5,8732388.466666667,370400.9,20695367.1
1704864780000,12330503.466666667,4590550.533333333,436641.0333333333,26223406.666666668
1704864840000,11390272.266666668,5000970.533333333,338382.2,25007673.26666667
1704864900000,12479669.666666668,7682330.433333334,377248.8,26515649.366666667
1704864960000,10595454.581819395,7681927.297576586,500682.7227574253,31613766.158871964

