sep=,
"Time","Pods"
1704941925000,33
1704941940000,33
1704941955000,33
1704941970000,33
1704941985000,33
1704942000000,33
1704942015000,33
1704942030000,33
1704942045000,33
1704942060000,33
1704942075000,33
1704942090000,33
1704942105000,33
1704942120000,33
1704942135000,33
1704942150000,33
1704942165000,45
1704942180000,45
1704942195000,45
1704942210000,45
1704942225000,45
1704942240000,45
1704942255000,45
1704942270000,45
1704942285000,45
1704942300000,45
1704942315000,45
1704942330000,45
1704942345000,45
1704942360000,45
1704942375000,45
1704942390000,45
1704942405000,45
1704942420000,45
1704942435000,45
1704942450000,45
1704942465000,60
1704942480000,60
1704942495000,60
1704942510000,60
1704942525000,60
1704942540000,60
1704942555000,60
1704942570000,60
1704942585000,60
1704942600000,60
1704942615000,60
1704942630000,60
1704942645000,60
1704942660000,60
1704942675000,60
1704942690000,60
1704942705000,60
1704942720000,60
1704942735000,60
1704942750000,60
1704942765000,75
1704942780000,75
1704942795000,75
1704942810000,75
1704942825000,75
1704942840000,75
1704942855000,75
1704942870000,75
1704942885000,75
1704942900000,75
1704942915000,75
1704942930000,75
1704942945000,75
1704942960000,75
1704942975000,75
1704942990000,75
1704943005000,75
1704943020000,75
1704943035000,75
1704943050000,75
1704943065000,88
1704943080000,88
1704943095000,90
1704943110000,90
1704943125000,90
1704943140000,90
1704943155000,90
1704943170000,90
1704943185000,90
1704943200000,90
1704943215000,90
1704943230000,90
1704943245000,90
1704943260000,90
1704943275000,90
1704943290000,90
1704943305000,90
1704943320000,90
1704943335000,90
1704943350000,90
1704943365000,90
1704943380000,90

