sep=,
"Time","open5gs-upf-1-859f8f547d-2jtng","open5gs-upf-2-6784b8f6db-d7wjb","open5gs-upf-3-8dcfc7b5b-wbvgt","open5gs-upf-4-675547fdf5-5fccm"
1704941880000,395.9201359954668,520.9159694676844,469.4176860771307,582.8805706476451
1704941940000,33355393.266666666,1201343.4,132221.56666666668,54106316.03333333
1704942000000,31880973.266666666,1004297.8,91489.86666666667,58373570.83333333
1704942060000,27217500.01666611,642037.9987333755,139502.4165861138,61723744.90850305
1704942120000,22889066.831105627,676157.6614112863,170646.61177960734,29079714.70950968
1704942180000,23594254.866666667,873540.9333333333,138807.76666666666,58483035.53333333
1704942240000,29384352.866666667,3605097.3333333335,448575.4666666667,65342664.5
1704942300000,25991860.995366514,4072259.808660289,397558.38527950936,47514216.340544686
1704942360000,24252553.333333332,4166223.0666666664,302281.5333333333,61110550.83333333
1704942420000,25185892.996433213,4523688.789626321,521998.9999666655,75844125.90419681
1704942480000,26927815.666666664,3664303.6666666665,492213.8333333334,51957086.13333333
1704942540000,24835215.359488018,6146817.906069797,516878.47071764275,46804798.6067131
1704942600000,29754365.866666667,6420779.666666666,580385.5666666667,41752059.1
1704942660000,28625775.2,8821639.466666667,704334.7,54764283.7
1704942720000,19789305.133333333,8267477.066666666,728491.4,48266301.099999994
1704942780000,30060164.53333333,7001552.2,862413.1333333333,41333000.53333333
1704942840000,28220501.2,9426005.5,700945.3333333333,60539849.7
1704942900000,16290412.14707157,16861463.48211607,769323.0441014702,26994630.68768959
1704942960000,15858419.466666667,12844001,732478.1333333333,57369946.66666667
1704943020000,29435756.066666666,13062049.566666666,688174.6,45208551.56666666
1704943080000,14941789.266666666,10787933.666666666,647101.6,40797634.93333334
1704943140000,30315439.9,11331617.333333332,664799.5666666667,20895632.966666665
1704943200000,23063699,15312909.566666666,919301.7,50482036.86666667
1704943260000,26968158,10720011.766666666,489770.6666666667,32858414.333333336
1704943320000,21441773.666666668,11150564.5,1044717.3,43850561.766666666
1704943380000,24920268,11222665.6,885833.8333333334,35739857.8

