sep=,
"Time","open5gs-upf-1-859f8f547d-2jtng","open5gs-upf-2-6784b8f6db-d7wjb","open5gs-upf-3-8dcfc7b5b-wbvgt","open5gs-upf-4-675547fdf5-5fccm"
1704941880000,1738.142061931269,2284.1571947601747,2064.8311722942567,2110.596313456218
1704941940000,16446003.666666666,596693.3999999999,75460.96666666666,27872592.366666663
1704942000000,15733379.666666666,498683.73333333334,52179.53333333333,30068343.766666666
1704942060000,13462561.38128729,318903.4365521149,79670.27765741141,31704589.91366954
1704942120000,11322799.640011998,335789.04036532115,97697.31008966368,14967648.478384053
1704942180000,11669016.366666667,433839.6666666666,79559.63333333335,30115071.4
1704942240000,14535271.9,1783768,253959.86666666667,33596817.03333333
1704942300000,12853526.950898364,2014960.332011067,225438.64795493183,24424525.617520586
1704942360000,11995836.366666667,2061401.5666666667,171132.93333333332,31393426.1
1704942420000,12456988.099603321,2238224.307476916,295501.58338611294,38970865.328844294
1704942480000,13318864.566666666,1813009.1666666667,278871.4,26697341.133333333
1704942540000,12286067.831072297,3040529.4823505883,292380.95396820107,24051527.149095032
1704942600000,14715665.866666665,3175617.4000000004,328751.3,21437279.3
1704942660000,14155985.333333332,4362599.4,398630.6333333333,28082730.5
1704942720000,9788960.933333334,4088598,412647.73333333334,24741222.9
1704942780000,14856360.2,3462357.8333333335,488727.9333333333,21179063.133333337
1704942840000,13959794.666666668,4660962.4,397068.4666666667,31032492.5
1704942900000,8052924.764158806,8336938.297943265,435385.7128570953,13841600.85336178
1704942960000,7845467.6,6349906.533333333,414425.93333333335,29370775.733333334
1704943020000,14560785.799999999,6458456.1,389418.5333333333,23189748.266666666
1704943080000,7392254.733333333,5333844.466666667,366349.86666666664,20918159
1704943140000,14884348.1,5602268,376547.2666666667,10710274.633333333
1704943200000,11336847.8,7570177.966666666,520511.0333333333,25792819.333333336
1704943260000,13272101.733333334,5300010.033333333,277588.06666666665,16765933.600000001
1704943320000,10529338.466666667,5513268.233333333,591079.9,22426826.966666665
1704943380000,12239228,5548938.966666667,501217.6333333333,18268550.266666666

